f_60,f_120,f_180,f_240,f_300,f_360,f_420,f_480,f_540,f_600,f_660,f_720,f_780,f_840,f_900,f_960,f_1020,f_1080,f_1140,f_1200,device
0.13134775465796164,0.013977965887156416,0.012228808351145967,0.00864030202257842,0.025304466640153324,0.006685411982535519,0.006257402608712968,0.005136848195553299,0.0,0.004322961947554014,0.0,0.0029470428965545324,0.0032684422699003463,0.0,0.0025240605168276057,0.003185031623414024,0.00314441083151,0.0,0.0027090607288516293,0.0030980883745208203,airConditioner
0.1317208643210283,0.0,0.019724137957592258,0.0,0.012495950769072596,0.0,0.0,0.005493090094629425,0.0056821282200999615,0.004079411994563938,0.004353564924746508,0.0035688794383802584,0.0040574572221837805,0.003878806608148917,0.0037090526898100233,0.0038619302074591132,0.0,0.003380941668261084,0.003252441206062246,0.0031658262097237384,airConditioner
0.1831975976859506,0.015158680062787618,0.008908173332808076,0.0,0.01553917506251699,0.007133088415029238,0.007818208482911291,0.00449621482142456,0.003655100096421104,0.0036128740684994772,0.0032893618934402634,0.0020223676911417863,0.001999662254841298,0.0017974784141682864,0.0016774841149856357,0.0022875328557186523,0.0019353128721493562,0.001453871394092952,0.0017220106911545146,0.0018160778425717092,airConditioner
0.1412967243566372,0.0,0.013481492428614301,0.0,0.014397175748356668,0.007275946222737227,0.0,0.005554900613322281,0.005212773346257572,0.00437137400172739,0.0047500909651240104,0.0034547548755208923,0.0038408101781309584,0.003234450700390785,0.0031759134463763905,0.0,0.0,0.0033511989900748634,0.0028866634269785092,0.003081155499368233,airConditioner
0.1267705006531382,0.01728285345079319,0.015064503968203883,0.012812146835831737,0.029172363527881825,0.007726139921773668,0.009168982500455428,0.006784508901867955,0.005399206826742853,0.0,0.005833419620519134,0.004563780610095838,0.0,0.00399084037709112,0.0042318492444929695,0.0,0.0035114437585370985,0.0030314829947812255,0.0,0.0036611089240811134,airConditioner
0.13577466468379545,0.0,0.0223739285347507,0.0,0.011964452561601462,0.0,0.0,0.005025634068501948,0.0,0.003800631526470302,0.0042338806321204235,0.0038824064427326215,0.0,0.0036208074218202603,0.003664817182792715,0.00355810624701771,0.0036752962070440726,0.003512072896376363,0.0,0.00284931697327663,airConditioner
0.1505847209450185,0.03207895630590382,0.01693432653015786,0.0076846432593794065,0.024588144420455538,0.005263018013566333,0.004011426172194242,0.004160488317292157,0.002798711944063571,0.002292247805103102,0.0,0.0021582997882765363,0.0,0.002212089594513748,0.0018529130619801466,0.002088594489947802,0.002515813053028631,0.0018345692713548462,0.0,0.0017493236089969138,airConditioner
0.14973087205283,0.0,0.008986880511756284,0.0042171881196768025,0.02137108357473457,0.0031422690015210004,0.0030733666399867365,0.0025461678903650913,0.0018088937125798044,0.0,0.0013125869907525717,0.000899172924682496,0.0,0.0008546391051244715,0.0008699573848513393,0.0,0.001052924028405646,0.0011301499257082564,0.0,0.0008083923810277869,airConditioner
0.13817555909902293,0.0,0.014727231463566977,0.0,0.014734806389653618,0.0,0.006221825356856456,0.005713863367038963,0.004843025306245586,0.004503650397623182,0.004567720288467424,0.003934516467837402,0.0032935198183137926,0.0,0.0027533772951109274,0.0033889382864665998,0.0,0.0032506742938911205,0.0032073731077004253,0.0028679611477868488,airConditioner
0.1288963599602705,0.045573810977980404,0.01811491205043412,0.0,0.030724677556652032,0.0,0.010177847750191892,0.0074346322939517415,0.0,0.006432458599521042,0.006416612480502297,0.0,0.005165933590955181,0.0,0.00448917070823362,0.0041306238195003035,0.0,0.004527626807941157,0.00426343169172474,0.0044574882641137716,airConditioner
